token_a,token_b,count
like,look,7
iphone,new,7
iphone,look,6
got,iphone,6
factor,form,6
bit,little,6
model,pro,5
color,like,5
iphone,let,5
look,phone,5
case,later,5
black,kind,5
black,color,5
actual,iphone,4
iphone,thing,4
iphone,well,4
max,pro,4
iphone,plus,4
bit,iphone,4
iphone,know,4
apple,going,4
color,kind,4
look,model,4
iphone,little,4
color,look,4
actually,color,4
apple,button,4
iphone,one,4
let,one,4
let,look,4
going,iphone,4
black,model,4
actually,device,4
iphone,mean,3
new,one,3
let,new,3
going,new,3
going,one,3
phone,thing,3
iphone,like,3
let,like,3
like,phone,3
get,going,3
official,plus,3
obviously,plus,3
going,look,3
however,look,3
going,phone,3
come,iphone,3
going,thing,3
iphone,obviously,3
iphone,official,3
apple,got,3
actually,apple,3
little,obviously,3
going,got,3
apple,color,3
apple,one,3
like,sometimes,3
color,sometimes,3
course,going,3
button,obviously,3
bit,know,3
camera,section,3
apple,obviously,3
bit,obviously,3
form,identical,3
factor,identical,3
change,form,3
change,factor,3
like,model,3
almost,look,3
model,plus,3
identical,look,3
black,section,3
matte,model,3
know,plus,3
actual,material,3
iphone,looking,3
existing,pro,3
color,way,3
identical,width,3
two,using,3
let,taller,3
let,pro,3
check,let,3
close,model,3
iphone,model,3
got,phone,3
color,got,3
got,match,3
device,going,3
grip,magnetic,3
charge,device,3
charge,two,3
device,two,3
case,drop,3
know,let,3
